tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,tablescraper-selected-row 5,k-alt,k-alt 2,k-alt 3,k-alt 4,k-alt 5
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231308914,3400 BLOCK  MCKINLEY AV,Los Angeles Police,04-08-2023 23:15
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230407216,500 BLOCK  GALLARDO ST,Los Angeles Police,04-08-2023 23:05,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230110194,200 BLOCK W 6TH ST,Los Angeles Police,04-08-2023 23:00
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230708253,200 BLOCK S DETROIT ST,Los Angeles Police,04-08-2023 23:00,,,,,
,,,,,PICKPOCKET - PICKPURSE (form of grand theft person),230110408,1000 BLOCK S HILL ST,Los Angeles Police,04-08-2023 23:00
BURGLARY FROM VEHICLE,230110252,800 BLOCK S OLIVE ST,Los Angeles Police,04-08-2023 23:00,,,,,
,,,,,PICKPOCKET - PICKPURSE (form of grand theft person),230110248,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 22:50
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230309100,600 BLOCK W JEFFERSON BL,Los Angeles Police,04-08-2023 22:40,,,,,
,,,,,PICKPOCKET - PICKPURSE (form of grand theft person),230309166,600 BLOCK W JEFFERSON BL,Los Angeles Police,04-08-2023 22:30
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110278,800 BLOCK W OLYMPIC BL,Los Angeles Police,04-08-2023 22:30,,,,,
,,,,,"ROBBERY, STRONG-ARM: Other",923-04870-0276,"3400 BLK E CESAR E CHAVEZ AVE, LOS ANGELES, CA 900",Los Angeles Sheriff (unincorp.),04-08-2023 22:30
PICKPOCKET - PICKPURSE (form of grand theft person),230309099,600 BLOCK W JEFFERSON BL,Los Angeles Police,04-08-2023 22:30,,,,,
,,,,,PICKPOCKET - PICKPURSE (form of grand theft person),230110352,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 22:30
PICKPOCKET - PICKPURSE (form of grand theft person),230110397,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 22:25,,,,,
,,,,,BURGLARY FROM VEHICLE,230110253,200 BLOCK S HEWITT ST,Los Angeles Police,04-08-2023 22:17
BURGLARY FROM VEHICLE,230110369,2ND   &  SANTA FE,Los Angeles Police,04-08-2023 22:15,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230110260,1300 BLOCK S FIGUEROA ST,Los Angeles Police,04-08-2023 22:10
"VEHICLE, STOLEN",230208713,600 BLOCK  ST PAUL AV,Los Angeles Police,04-08-2023 22:00,,,,,
,,,,,PICKPOCKET - PICKPURSE (form of grand theft person),230110341,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 22:00
"VEHICLE, STOLEN",230407297,MARIETTA ST  &  GARNET ST,Los Angeles Police,04-08-2023 22:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),231308926,800 BLOCK E ADAMS BL,Los Angeles Police,04-08-2023 22:00
ROBBERY - ATTEMPTED,230110168,200 BLOCK S LOS ANGELES ST,Los Angeles Police,04-08-2023 21:50,,,,,
,,,,,PICKPOCKET - PICKPURSE (form of grand theft person),230110512,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 21:25
PICKPOCKET - PICKPURSE (form of grand theft person),230110261,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 21:15,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230110245,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 21:00
BURGLARY FROM VEHICLE,230309068,30TH ST  &  FLOWER ST,Los Angeles Police,04-08-2023 21:00,,,,,
,,,,,"VEHICLE, STOLEN",231308923,51ST   &  CENTRAL,Los Angeles Police,04-08-2023 21:00
THEFT - PETTY (plain theft-petty) ($950 & under),230708304,1300 BLOCK S LA BREA AV,Los Angeles Police,04-08-2023 21:00,,,,,
,,,,,"ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC.",023-04822-0281,"FORD BLVD & THIRD ST, LOS ANGELES, CA",Los Angeles Sheriff (unincorp.),04-08-2023 20:39
ARSON,230110197,500 BLOCK  WALL ST,Los Angeles Police,04-08-2023 20:30,,,,,
,,,,,BURGLARY FROM VEHICLE,230110242,800 BLOCK E 4TH ST,Los Angeles Police,04-08-2023 20:30
PICKPOCKET - PICKPURSE (form of grand theft person),230110249,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 20:30,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230708407,400 BLOCK S LA BREA AV,Los Angeles Police,04-08-2023 20:24
ADW AGAINST POLICE OFFICER,231209876,5700 BLOCK S WESTERN AV,Los Angeles Police,04-08-2023 20:22,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),230208729,2200 BLOCK  BELLEVUE AV,Los Angeles Police,04-08-2023 20:00
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230309305,3400 BLOCK  POTOMAC AV,Los Angeles Police,04-08-2023 20:00,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,232000689,1000 BLOCK  4TH AV,Los Angeles Police,04-08-2023 20:00
PICKPOCKET - PICKPURSE (form of grand theft person),230110392,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 19:52,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),231308917,100 BLOCK W 43RD PL,Los Angeles Police,04-08-2023 19:45
SHOPLIFTING - PETTY THEFT ($950 & under),231308976,4000 BLOCK S MAIN ST,Los Angeles Police,04-08-2023 19:35,,,,,
,,,,,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,923-04823-0250,"4000 BLK 57TH ST, MAYWOOD, CA 90270",Maywood (Los Angeles Sheriff),04-08-2023 19:08
"VEHICLE, STOLEN",231308956,57TH ST  &  BROADWAY,Los Angeles Police,04-08-2023 19:00,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",232008099,400 BLOCK S VERMONT AV,Los Angeles Police,04-08-2023 19:00
"VEHICLE, STOLEN",230110281,900 BLOCK S HILL ST,Los Angeles Police,04-08-2023 19:00,,,,,
,,,,,SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230407230,1800 BLOCK  DEL PASO AV,Los Angeles Police,04-08-2023 19:00
ROBBERY (taking property of another by means of force or fear),230110263,700 BLOCK S FIGUEROA ST,Los Angeles Police,04-08-2023 19:00,,,,,
,,,,,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,923-04824-0245,"100 BLK CITADEL DR, COMMERCE, CA",Commerce (Los Angeles Sheriff),04-08-2023 18:57
THEFT FROM VEHICLE - GRAND ($950.01 & over),231107650,1400 BLOCK  ALLESANDRO ST,Los Angeles Police,04-08-2023 18:55,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230308997,2300 BLOCK S HOOVER ST,Los Angeles Police,04-08-2023 18:50
ROBBERY (taking property of another by means of force or fear),230200639,WESTLAKE   &  WILSHIRE,Los Angeles Police,04-08-2023 18:45,,,,,
,,,,,"VEHICLE, STOLEN",230110158,3RD ST  &  BROADWAY,Los Angeles Police,04-08-2023 18:40
THEFT - PETTY (plain theft-petty) ($950 & under),230110259,1200 BLOCK N SPRING ST,Los Angeles Police,04-08-2023 18:30,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230110529,700 BLOCK S BROADWAY,Los Angeles Police,04-08-2023 18:15
BURGLARY FROM VEHICLE,230110337,800 BLOCK S OLIVE ST,Los Angeles Police,04-08-2023 18:15,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230308999,HOOVER ST  &  MARTIN LUTHER KING JR BL,Los Angeles Police,04-08-2023 18:00
SHOPLIFTING - GRAND THEFT ($950.01 & over),230309207,4300 BLOCK S FIGUEROA ST,Los Angeles Police,04-08-2023 17:31,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),231308915,1600 BLOCK E 41ST ST,Los Angeles Police,04-08-2023 17:30
BICYCLE - STOLEN,232008129,1900 BLOCK S WESTERN AV,Los Angeles Police,04-08-2023 17:30,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230708391,400 BLOCK S LA BREA AV,Los Angeles Police,04-08-2023 17:16
BURGLARY FROM VEHICLE,230110391,1600 BLOCK E 7TH ST,Los Angeles Police,04-08-2023 17:15,,,,,
,,,,,BURGLARY FROM VEHICLE,230110246,N SPRING ST  & W ANN ST,Los Angeles Police,04-08-2023 16:30
BURGLARY FROM VEHICLE,230407276,200 BLOCK N AVENUE 21,Los Angeles Police,04-08-2023 16:00,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230708406,400 BLOCK S LA BREA AV,Los Angeles Police,04-08-2023 15:43
BURGLARY FROM VEHICLE,230110250,500 BLOCK S HILL ST,Los Angeles Police,04-08-2023 15:30,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),231107656,1600 BLOCK  GLENDALE BL,Los Angeles Police,04-08-2023 15:30
"VEHICLE, STOLEN",230110209,200 BLOCK S HEWITT ST,Los Angeles Police,04-08-2023 15:30,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,232007949,1100 BLOCK S NEW HAMPSHIRE AV,Los Angeles Police,04-08-2023 15:00
"BURGLARY, RESIDENCE: Day, Entry No Force",923-00756-2768,"3700 BLK W MOUNT VERNON DR, LOS ANGELES, CA 90008",Los Angeles Sheriff (unincorp.),04-08-2023 14:40,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230309000,3100 BLOCK S WESTERN AV,Los Angeles Police,04-08-2023 14:32
THEFT FROM VEHICLE - PETTY ($950 & under),230110240,1200 BLOCK S HILL ST,Los Angeles Police,04-08-2023 14:30,,,,,
,,,,,SHOPLIFTING - GRAND THEFT ($950.01 & over),231308921,4000 BLOCK S MAIN ST,Los Angeles Police,04-08-2023 14:20
THEFT - PETTY (plain theft-petty) ($950 & under),230208954,7TH   &  ALVARADO,Los Angeles Police,04-08-2023 14:00,,,,,
,,,,,"GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)",923-04815-0293,"4800 BLK WHITTIER BLVD, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-08-2023 14:00
"VEHICLE, STOLEN",230309154,31ST ST  &  CIMARRON,Los Angeles Police,04-08-2023 13:45,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),231308916,WASHINGTON   &  CENTRAL AV,Los Angeles Police,04-08-2023 13:30
THEFT FROM VEHICLE - PETTY ($950 & under),230309113,1100 BLOCK W JEFFERSON BL,Los Angeles Police,04-08-2023 13:30,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),231309086,3700 BLOCK S SAN PEDRO ST,Los Angeles Police,04-08-2023 13:18
"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230300613,4100 BLOCK S WESTERN AV,Los Angeles Police,04-08-2023 13:05,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230309144,4100 BLOCK S WESTERN AV,Los Angeles Police,04-08-2023 13:05
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230700641,1200 BLOCK S BRONSON AV,Los Angeles Police,04-08-2023 13:00,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230407229,900 BLOCK S MOTT ST,Los Angeles Police,04-08-2023 13:00
THEFT - PETTY (plain theft-petty) ($950 & under),230708385,400 BLOCK N ROSSMORE AV,Los Angeles Police,04-08-2023 12:30,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230407270,2000 BLOCK  LINCOLN PARK AV,Los Angeles Police,04-08-2023 12:29
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230110142,1300 BLOCK S SANTEE ST,Los Angeles Police,04-08-2023 12:26,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231209793,5700 BLOCK  9TH AV,Los Angeles Police,04-08-2023 12:00
THEFT FROM VEHICLE - PETTY ($950 & under),230208834,200 BLOCK N UNION AV,Los Angeles Police,04-08-2023 12:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),231308905,SAN PEDRO ST  &  35TH ST,Los Angeles Police,04-08-2023 12:00
"VEHICLE, STOLEN",230407203,1000 BLOCK  MARK ST,Los Angeles Police,04-08-2023 11:10,,,,,
,,,,,"VEHICLE, STOLEN",230110208,700 BLOCK S SPRING ST,Los Angeles Police,04-08-2023 11:00
"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230708210,1100 BLOCK S BRONSON AV,Los Angeles Police,04-08-2023 11:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230110153,GEORGIA   &  WASHINGTON,Los Angeles Police,04-08-2023 10:30
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230309307,3900 BLOCK  LA SALLE AV,Los Angeles Police,04-08-2023 10:30,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),230208864,1700 BLOCK S HOOVER ST,Los Angeles Police,04-08-2023 10:30
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407214,100 BLOCK S BOYLE AV,Los Angeles Police,04-08-2023 10:30,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",231308999,2900 BLOCK S MAIN ST,Los Angeles Police,04-08-2023 10:30
BURGLARY FROM VEHICLE,230110251,200 BLOCK S HEWITT ST,Los Angeles Police,04-08-2023 10:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),230110254,1100 BLOCK S GRAND AV,Los Angeles Police,04-08-2023 10:00
THEFT - PETTY (plain theft-petty) ($950 & under),230708251,1100 BLOCK  MEADOWBROOK AV,Los Angeles Police,04-08-2023 10:00,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",231308902,SAN PEDRO ST  &  28TH ST,Los Angeles Police,04-08-2023 09:50
THEFT FROM VEHICLE - GRAND ($950.01 & over),232008003,5TH   &  MARIPOSA,Los Angeles Police,04-08-2023 09:30,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230110544,100 BLOCK E 2ND ST,Los Angeles Police,04-08-2023 09:30
ROBBERY (taking property of another by means of force or fear),230407215,2500 BLOCK  MICHIGAN AV,Los Angeles Police,04-08-2023 09:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),230208746,CORTEZ   &  GLENDALE,Los Angeles Police,04-08-2023 09:00
"VEHICLE, STOLEN",230110156,1100 BLOCK W SUNSET BL,Los Angeles Police,04-08-2023 09:00,,,,,
,,,,,"GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)",923-04820-0275,"800 BLK N RECORD AVE, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-08-2023 08:30
"VEHICLE, STOLEN",231308889,400 BLOCK E 20TH ST,Los Angeles Police,04-08-2023 08:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230708218,200 BLOCK S LA BREA AV,Los Angeles Police,04-08-2023 07:54
BURGLARY FROM VEHICLE,230708207,5900 BLOCK W 3RD ST,Los Angeles Police,04-08-2023 07:40,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407314,2500 BLOCK  WORKMAN ST,Los Angeles Police,04-08-2023 07:30
"VEHICLE, STOLEN",230407195,2000 BLOCK E 2ND ST,Los Angeles Police,04-08-2023 06:30,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230110348,S FIGUEROA ST  &  VENICE BL,Los Angeles Police,04-08-2023 06:29
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110171,500 BLOCK  STANFORD AV,Los Angeles Police,04-08-2023 06:00,,,,,
,,,,,"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)",923-04798-0243,"5000 BLK KINSIE ST, COMMERCE, CA 90040",Commerce (Los Angeles Sheriff),04-08-2023 05:53
ARSON,232007891,3900 BLOCK W OLYMPIC BL,Los Angeles Police,04-08-2023 05:30,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230110286,800 BLOCK N ALAMEDA ST,Los Angeles Police,04-08-2023 05:15
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407219,300 BLOCK W AVENUE 26,Los Angeles Police,04-08-2023 05:00,,,,,
,,,,,GRAND THEFT: Auto Parts And Accessories,923-04796-0291,"4800 BLK CLONIA DE LOS PINOS, LOS ANGELES, CA",Los Angeles Sheriff (unincorp.),04-08-2023 04:57
"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230208691,PARK VIEW   &  WILSHIRE AV,Los Angeles Police,04-08-2023 04:30,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,231308891,1300 BLOCK E 15TH ST,Los Angeles Police,04-08-2023 04:20
"ROBBERY, WEAPON: Convenience Store, Fast Food, Restaurant",923-04794-0278,"4200 BLK OLYMPIC BLVD, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),04-08-2023 04:00,,,,,
,,,,,BURGLARY FROM VEHICLE,230708246,300 BLOCK S BURNSIDE AV,Los Angeles Police,04-08-2023 03:45
ROBBERY (taking property of another by means of force or fear),230407193,2700 BLOCK E OLYMPIC BL,Los Angeles Police,04-08-2023 03:22,,,,,
,,,,,SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230110109,500 BLOCK N FIGUEROA ST,Los Angeles Police,04-08-2023 03:00
VEHICLE BURGLARY: Auto/Passenger Van Burglary,923-04813-0291,"4900 BLK E CESAR E CHAVEZ AVE, LOS ANGELES, CA 900",Los Angeles Sheriff (unincorp.),04-08-2023 03:00,,,,,
,,,,,SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230208690,2100 BLOCK  CLINTON ST,Los Angeles Police,04-08-2023 03:00
"VEHICLE, STOLEN",232007904,1300 BLOCK  MAGNOLIA AV,Los Angeles Police,04-08-2023 03:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110170,700 BLOCK S BROADWAY,Los Angeles Police,04-08-2023 02:10
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),239912068,1200 BLOCK  WILSHIRE BL,Los Angeles Police,04-08-2023 02:00,,,,,
,,,,,"VEHICLE, STOLEN",231308887,700 BLOCK E 14TH PL,Los Angeles Police,04-08-2023 01:25
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231209801,4600 BLOCK S VERMONT AV,Los Angeles Police,04-08-2023 01:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230708196,4100 BLOCK W PICO BL,Los Angeles Police,04-08-2023 00:55
ROBBERY (taking property of another by means of force or fear),230110090,CONWAY PL  &  MATEO ST,Los Angeles Police,04-08-2023 00:50,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230708203,400 BLOCK N MCCADDEN PL,Los Angeles Police,04-08-2023 00:50
"VEHICLE, STOLEN",230407188,3200 BLOCK E 1ST ST,Los Angeles Police,04-08-2023 00:30,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),230110169,12TH   &  LOS ANGELES,Los Angeles Police,04-08-2023 00:25
"ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer",923-00514-5120,"400 BLK BAUCHET ST, LOS ANGELES, CA 90012",Los Angeles Sheriff (unincorp.),04-08-2023 00:10,,,,,
,,,,,"VEHICLE, STOLEN",230308988,36TH ST  &  5TH AV,Los Angeles Police,04-08-2023 00:01
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230208694,1300 BLOCK W 2ND ST,Los Angeles Police,04-08-2023 00:01,,,,,
